id,actor,character,total,img_url,complete,alive
s,Aidan Gillen,Petyr Baelish,34,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjQwNDc1NjkyOV5BMl5BanBnXkFtZTgwNDkwMzg4ODE@._V1_UY100_CR25,0,100,100_AL_.jpg",yes,TRUE
t,Conleth Hill,Varys,35,"https://images-na.ssl-images-amazon.com/images/M/MV5BNzEzNDYwNGEtYjcxOC00MjUwLTlhZTgtZGJjZjUzNWQ5YTk0XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_UY100_CR39,0,100,100_AL_.jpg",yes,TRUE
u,James Cosmo,Jeor Mormont,12,https://images-na.ssl-images-amazon.com/images/M/MV5BOGVhOWZmMjctYTY3Yy00YjViLThkOTEtMzliMGExMzllZWJlXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SS90_.jpg,yes,FALSE
v,Jerome Flynn,Bronn,31,https://images-na.ssl-images-amazon.com/images/M/MV5BYjJiYjZhZWUtNmRmYy00NzkxLWEwODUtMDcwMTQwNzEzZjY0XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_UY100_UX100_AL_.jpg,yes,TRUE
w,John Bradley,Samwell Tarly,38,https://images-na.ssl-images-amazon.com/images/M/MV5BYmMwODYzZTctZWIyZC00NWE4LTllMTYtYjEyNDNkNTUyNWZhXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_UY100_UX100_AL_.jpg,yes,TRUE
x,Joe Dempsie,Gendry,17,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTcxNzYwMTk4MV5BMl5BanBnXkFtZTcwNDg1ODg4OQ@@._V1_UX100_CR0,0,100,100_AL_.jpg",yes,FALSE
y,Charles Dance,Tywin Lannister,27,https://images-na.ssl-images-amazon.com/images/M/MV5BOTA4ODMxMzE1OV5BMl5BanBnXkFtZTcwMTM0ODg4OQ@@._V1._SX100_SY140_.jpg,yes,FALSE
z,Sibel Kekilli,Shae,20,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTkwMTA0NTY5NF5BMl5BanBnXkFtZTcwNjk2ODg4OQ@@._V1_UX100_CR0,0,100,100_AL_.jpg",yes,FALSE
aa,Liam Cunningham,Davos Seaworth,29,https://images-na.ssl-images-amazon.com/images/M/MV5BMjFlMDk4ZTQtYjQ4YS00NjI5LTllMTYtZGE0OGI5NGFiMDhlXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_UY100_UX100_AL_.jpg,yes,TRUE
bb,Stephen Dillane,Stannis Baratheon,24,https://images-na.ssl-images-amazon.com/images/M/MV5BOWZhYjY0MjItYTU2Yi00NjhiLWJmNmMtNjczYjYzY2NiZDVhXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_UY100_UX100_AL_.jpg,yes,FALSE
cc,Carice van Houten,Melisandre,26,https://images-na.ssl-images-amazon.com/images/M/MV5BN2YwNWMzMzMtMzQ0ZS00NDZhLTliMzMtN2IxOTZkZGQ0MWQ1XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_UY100_UX100_AL_.jpg,yes,TRUE
dd,Hannah Murray,Gilly,21,https://images-na.ssl-images-amazon.com/images/M/MV5BZWJkOTQ4ZGUtMmI4OC00Nzk0LTk2YjQtNWI5ZjkyOTNmMjI5XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_UY100_UX100_AL_.jpg,yes,TRUE
ee,Tom Wlaschiha,Jaqen H'ghar,17,https://images-na.ssl-images-amazon.com/images/M/MV5BOGI1ZWZkODQtN2IxMy00NTNjLTk1YmYtOGM4NTk1MTI3M2FkXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_UY100_UX100_AL_.jpg,yes,TRUE
ff,Natalie Dormer,Margaery Tyrell,26,https://images-na.ssl-images-amazon.com/images/M/MV5BMTkzODQ1MDg3NV5BMl5BanBnXkFtZTcwODA4NDk4OQ@@._V1._SX100_SY140_.jpg,yes,FALSE
gg,Gwendoline Christie,Brienne of Tarth,32,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTYzNDY4NzgzOV5BMl5BanBnXkFtZTcwNDM5ODg4OQ@@._V1_UX100_CR0,0,100,100_AL_.jpg",yes,TRUE
hh,Michael McElhatton,Roose Bolton,19,https://images-na.ssl-images-amazon.com/images/M/MV5BMmU0NjM2YmMtYzMyNS00ZmNjLWIwNjUtZjE1ZTVlODJhYjg0XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_UY100_UX100_AL_.jpg,yes,FALSE
ii,Oona Chaplin,Talisa Stark,11,https://images-na.ssl-images-amazon.com/images/M/MV5BZmViODU5YTctM2VhNC00MTRjLTgwYTctZjk0MmE4NzY4YzhiXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_UY100_UX100_AL_.jpg,yes,FALSE
jj,Rose Leslie,Ygritte,17,https://images-na.ssl-images-amazon.com/images/M/MV5BOTg5MjU1NjMtMzQ4MS00ZDU4LWE2MDQtZTFkZjEzY2RiNjQ4XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_UY100_UX100_AL_.jpg,yes,FALSE
kk,Kristofer Hivju,Tormund Giantsbane,24,https://images-na.ssl-images-amazon.com/images/M/MV5BNzFmZjAzZmEtNjEzOS00YjhhLWJiMmYtZGZkYTExYmQxYWE5XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_UY100_UX100_AL_.jpg,yes,TRUE
ll,Nathalie Emmanuel,Missandei,29,"https://images-na.ssl-images-amazon.com/images/M/MV5BNTE5OTI0OTA0OV5BMl5BanBnXkFtZTcwODczOTAzOQ@@._V1_UX100_CR0,0,100,100_AL_.jpg",yes,TRUE
mm,Iwan Rheon,Ramsay Bolton,20,"https://images-na.ssl-images-amazon.com/images/M/MV5BODQ5MzJhOGUtYjEzOS00OTc3LWI0OGItMThmMmY5M2M1N2FmXkEyXkFqcGdeQXVyMTk4OTI5NzU@._V1._CR420,0,1080,1080_SS90_.jpg",yes,FALSE
nn,Dean-Charles Chapman,Martyn Lannister,2,"https://images-na.ssl-images-amazon.com/images/M/MV5BNzE4N2IxYzctODE1YS00OTYxLThlZmEtOGI0NGJkNjhmZTYyXkEyXkFqcGdeQXVyMjAyODE5MDg@._V1_UY100_CR39,0,100,100_AL_.jpg",,TRUE
oo,Tommen Baratheon,Tommen Baratheon,5,https://images-na.ssl-images-amazon.com/images/M/MV5BOTY1YWUxM2QtZjhmZC00ZmQ2LThkM2YtNTk2MmQ5OTk3NGMyXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_UY100_UX100_AL_.jpg,yes,FALSE
pp,Indira Varma,Ellaria Sand,11,https://images-na.ssl-images-amazon.com/images/M/MV5BNWQ0ZDE5NDUtNDVmZi00ZTI5LTkyOTgtNDhiNjMwZjY3ZjgwXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_UY100_UX100_AL_.jpg,yes,TRUE
qq,Michiel Huisman,Daario Naharis,18,https://images-na.ssl-images-amazon.com/images/M/MV5BODE0ZWU0YzAtYzRjYy00Y2NmLTgxN2UtZDJjNWVkZTYwYmUwXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_UY100_UX100_AL_.jpg,yes,TRUE
rr,Jonathan Pryce,High Sparrow,12,"https://images-na.ssl-images-amazon.com/images/M/MV5BNjM3Mzg0NzI1OV5BMl5BanBnXkFtZTgwODYzODYyNDE@._V1_UY100_CR25,0,100,100_AL_.jpg",yes,FALSE
